unidade,municipio,sup,area,bloco,tipo,geracao_t,geradora,destino,modalidade,plano_pgrs,lat,lon
EEE VILA NORMA,Mesquita,Baixada 2,Baixada – demais,B4,Estação Elevatória de Esgoto,1.5,Sim,ETR JARDIM GRAMACHO,Agrupado,AGR · Baixada – demais (Baixada 2/B4),-22.7889734,-43.4101029
EEAT JK,Mesquita,Baixada 2,Baixada – demais,B4,Estação Elevatória de Água Tratada,0.0,Não,,Agrupado,AGR · Baixada – demais (Baixada 2/B4),-22.7697558,-43.4345326
SEDE NILOPOLIS,Nilópolis,Baixada 2,Baixada – demais,B4,Sede Administrativa,2104.4,Sim,Empresa Gerencial de Projetos Navais - EMGEPRON,Individualizado,IND · SEDE NILOPOLIS,-22.8114366,-43.4099017
EEAT NILÓPOLIS,Nilópolis,Baixada 2,Baixada – demais,B4,Estação Elevatória de Água Tratada,0.0,Não,,Agrupado,AGR · Baixada – demais (Baixada 2/B4),-22.8172839,-43.4116983
ERES CABRAL,Nilópolis,Baixada 2,Baixada – demais,B4,Estação de Reservação,0.0,Não,,Agrupado,AGR · Baixada – demais (Baixada 2/B4),-22.8182831,-43.4145843
ERES NILÓPOLIS,Nilópolis,Baixada 2,Baixada – demais,B4,Estação de Reservação,0.0,Não,,Agrupado,AGR · Baixada – demais (Baixada 2/B4),-22.8094695,-43.4063968
ETE LAGOINHA,Nova Iguaçu,Baixada 2,Baixada – Nova Iguaçu,B4,Estação de Tratamento de Esgoto,34.8,Sim,Regenera Rio S.A.,Agrupado,AGR · Baixada – Nova Iguaçu (Baixada 2/B4),-22.7988353,-43.589382
SEDE NOVA IGUAÇU,Nova Iguaçu,Baixada 2,Baixada – Nova Iguaçu,B4,Base Operacional,308.1,Sim,INDUSTRIA EXTRATIVA E COMERICAL POP LTDA-EPP,Agrupado,AGR · Baixada – Nova Iguaçu (Baixada 2/B4),-22.7595429,-43.4395846
EEAT CABUÇU ALTO,Nova Iguaçu,Baixada 2,Baixada – Nova Iguaçu,B4,Estação Elevatória de Água Tratada,0.0,Não,,Agrupado,AGR · Baixada – Nova Iguaçu (Baixada 2/B4),-22.7623219,-43.5412369
EEAT CABUÇU BAIXO,Nova Iguaçu,Baixada 2,Baixada – Nova Iguaçu,B4,Estação Elevatória de Água Tratada,0.0,Não,,Agrupado,AGR · Baixada – Nova Iguaçu (Baixada 2/B4),-22.7719105,-43.528715
EEAT ESPLANADA,Nova Iguaçu,Baixada 2,Baixada – Nova Iguaçu,B4,Estação Elevatória de Água Tratada,0.0,Não,,Agrupado,AGR · Baixada – Nova Iguaçu (Baixada 2/B4),-22.7410643,-43.4423538
EEAT FLORESA MIRANDA,Nova Iguaçu,Baixada 2,Baixada – Nova Iguaçu,B4,Estação Elevatória de Água Tratada,0.0,Não,,Agrupado,AGR · Baixada – Nova Iguaçu (Baixada 2/B4),-22.7637208,-43.4487209
EEAT COORDENAÇÃO DE MANUTENÇÃO DA BAIXADA,Nova Iguaçu,Baixada 2,Baixada – Nova Iguaçu,B4,Estação Elevatória de Água Tratada,0.0,Não,,Agrupado,AGR · Baixada – Nova Iguaçu (Baixada 2/B4),-22.7593418,-43.4473818
EEAT POSSE,Nova Iguaçu,Baixada 2,Baixada – Nova Iguaçu,B4,Estação Elevatória de Água Tratada,0.0,Não,,Agrupado,AGR · Baixada – Nova Iguaçu (Baixada 2/B4),-22.7055777,-43.430813
EEE LAGOINHA II,Nova Iguaçu,Baixada 2,Baixada – Nova Iguaçu,B4,Estação Elevatória de Esgoto,0.0,Não,,Agrupado,AGR · Baixada – Nova Iguaçu (Baixada 2/B4),-22.8011777,-43.5886519
ERES JK VELHO,Nova Iguaçu,Baixada 2,Baixada – Nova Iguaçu,B4,Estação de Reservação,0.0,Não,,Agrupado,AGR · Baixada – Nova Iguaçu (Baixada 2/B4),-22.7700212,-43.4344219
ERES JK NOVO,Nova Iguaçu,Baixada 2,Baixada – Nova Iguaçu,B4,Estação de Reservação,0.0,Não,,Agrupado,AGR · Baixada – Nova Iguaçu (Baixada 2/B4),-22.768669,-43.441066
ERES ALVORADA,Nova Iguaçu,Baixada 2,Baixada – Nova Iguaçu,B4,Estação de Reservação,0.0,Não,,Agrupado,AGR · Baixada – Nova Iguaçu (Baixada 2/B4),-22.7631542,-43.4794756
ERES BRASÍLIA,Nova Iguaçu,Baixada 2,Baixada – Nova Iguaçu,B4,Estação de Reservação,0.0,Não,,Agrupado,AGR · Baixada – Nova Iguaçu (Baixada 2/B4),-22.7630275,-43.4499916
ERES POSSE,Nova Iguaçu,Baixada 2,Baixada – Nova Iguaçu,B4,Estação de Reservação,0.0,Não,,Agrupado,AGR · Baixada – Nova Iguaçu (Baixada 2/B4),-22.7214877,-43.4662546
ERES CABUÇU ALTO,Nova Iguaçu,Baixada 2,Baixada – Nova Iguaçu,B4,Estação de Reservação,0.0,Não,,Agrupado,AGR · Baixada – Nova Iguaçu (Baixada 2/B4),-22.6955964,-43.4654372
ERES TAÇA,Nova Iguaçu,Baixada 2,Baixada – Nova Iguaçu,B4,Estação de Reservação,0.0,Não,,Agrupado,AGR · Baixada – Nova Iguaçu (Baixada 2/B4),-22.7783377,-43.5294556
ERES AUSTIN,Nova Iguaçu,Baixada 2,Baixada – Nova Iguaçu,B4,Estação de Reservação,0.0,Não,,Agrupado,AGR · Baixada – Nova Iguaçu (Baixada 2/B4),-22.7220108,-43.5401184
EEAT AUSTIN,Nova Iguaçu,Baixada 2,Baixada – Nova Iguaçu,B4,Estação Elevatória de Água Tratada,0.0,Não,,Agrupado,AGR · Baixada – Nova Iguaçu (Baixada 2/B4),-22.6955964,-43.4654372
ETE SAO JORGE,Queimados,Baixada 2,Agrupado/Municipal,B4,Estação de Tratamento de Esgoto,0.0,Não,,Agrupado,AGR · Queimados (Baixada 2/B4),-22.6909415,-43.5596954
SEDE QUEIMADOS,Queimados,Baixada 2,Agrupado/Municipal,B4,Sede Administrativa,305.0,Sim,TORRES E SILVA TERRAPLANAGEM EIRELI,Agrupado,AGR · Queimados (Baixada 2/B4),-22.7114503,-43.5540014
ETE QUEIMADOS,Queimados,Baixada 2,Agrupado/Municipal,B4,Estação de Tratamento de Esgoto,0.0,Não,,Agrupado,AGR · Queimados (Baixada 2/B4),-22.7156978,-43.555754
USINA DE ASFALTO,N/D,Baixada 2 (vizinho),(s/área),B4,N/D,0.0,Não,,Agrupado,AGR · REVISAR (sem município) (Baixada 2/B4),-22.8625894,-43.5449653
BASE VCG SÃO CRISTOVÃO,Rio de Janeiro,Comunidades,RJ – Capital,B4,Base Operacional,13.9,Sim,Regenera Rio S.A.,Agrupado,AGR · RJ Comunidades (Comunidades/B4),-22.8948275,-43.2201344
BASE EEAT ROCINHA,Rio de Janeiro,Comunidades,RJ – Capital,B1,Base Operacional,56.9,Sim,VALCIR TADEU PRIMO DA SILVA,Agrupado,AGR · RJ Comunidades (Comunidades/B1),-22.9866846,-43.2463688
BASE ROCINHA/ LOJA DE ATENDIMENTO,Rio de Janeiro,Comunidades,RJ – Capital,B1,Base Operacional,20.0,Sim,Perugia Empreendimentos Imobiliários S.A.,Agrupado,AGR · RJ Comunidades (Comunidades/B1),-22.9866846,-43.2463688
BASE OPERACIONAL MARÉ,Rio de Janeiro,Comunidades,RJ – Capital,B4,Base Operacional,149.6,Sim,Regenera Rio S.A.,Agrupado,AGR · RJ Comunidades (Comunidades/B4),-22.8556274,-43.2433257
BASE OPERACIONAL ENGENHO DE DENTRO,Rio de Janeiro,Comunidades,RJ – Capital,B4,Base Operacional,575.1,Sim,VALCIR TADEU PRIMO DA SILVA,Individualizado,IND · BASE OPERACIONAL ENGENHO DE DENTRO,-22.8980312,-43.2917235
BASE OPERACIONAL PENHA,Rio de Janeiro,Rio Norte,RJ – Capital,B4,Base Operacional,5609.8,Sim,VALCIR TADEU PRIMO DA SILVA,Individualizado,IND · BASE OPERACIONAL PENHA,-22.8316553,-43.2722961
BASE OPERACIONAL PPG,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B1,Base Operacional,0.0,Não,,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B1),-22.9812057,-43.1951831
BASE OPERACIONAL VIDIGAL,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B1,Base Operacional,0.0,Não,,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B1),-22.99417,-43.23347
EEAT ROCINHA INFERIOR,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B1,Estação Elevatória de Água Tratada,0.0,Não,,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B1),-22.9829908,-43.2383306
UT PAINEIRAS,Rio de Janeiro,Rio Centro Sul,RJ – Capital,B1,Unidade de Tratamento de Água,0.0,Não,,Agrupado,AGR · RJ Rio Centro Sul (Rio Centro Sul/B1),-22.9459089,-43.2173429
ETA APERIBÉ,Aperibé,Interior,Noroeste Fluminense,B1,Estação de Tratamento de Água,7.4,Sim,PRO-AMBIENTAL TECNOLOGIA LTDA,Agrupado,AGR · Noroeste Fluminense (Interior/B1),-21.6221344,-42.108912
ETE APERIBE,Aperibé,Interior,Noroeste Fluminense,B1,Estação de Tratamento de Esgoto,420.9,Sim,[INTERIOR] - ETE APERIBE - AGUAS DO RIO 1 SPE S.A.,Agrupado,AGR · Noroeste Fluminense (Interior/B1),-21.6257585,-42.097547
LOJA DE ATENDIMENTO APERIBÉ,Aperibé,Interior,Noroeste Fluminense,B1,Loja,0.0,Não,,Agrupado,AGR · Noroeste Fluminense (Interior/B1),-21.653159,-42.1329659
UT POSTO PENA,Cachoeira de Macacu,Interior,(s/área),B1,Unidade de Tratamento de Água,0.0,Não,PRO-AMBIENTAL TECNOLOGIA LTDA,Agrupado,AGR · Cachoeira de Macacu (Interior/B1),-22.4158701,-42.6183914
UT RIO SOUZA,Cachoeira de Macacu,Interior,(s/área),B1,Unidade de Tratamento de Água,0.0,Não,PRO-AMBIENTAL TECNOLOGIA LTDA,Agrupado,AGR · Cachoeira de Macacu (Interior/B1),-22.4413868,-42.6353001
LOJA DE ATENDIMENTO CACHOEIRA DA MACACU,Cachoeira de Macacu,Interior,(s/área),B1,Loja,0.0,Não,,Agrupado,AGR · Cachoeira de Macacu (Interior/B1),-22.5250392,-42.8317309
ETA CAMBUCI,Cambuci,Interior (vizinho),Noroeste Fluminense,B1,Estação de Tratamento de Água,0.0,Não,,Agrupado,AGR · Noroeste Fluminense (Interior/B1),-21.5824715,-41.921514
UT MONTE VERDE,Cambuci,Interior (vizinho),Noroeste Fluminense,B1,Unidade de Tratamento de Água,0.0,Não,,Agrupado,AGR · Noroeste Fluminense (Interior/B1),-21.4697,-41.9119
UT SÃO JOÃO DO PARAÍSO,Cambuci,Interior (vizinho),Noroeste Fluminense,B1,Unidade de Tratamento de Água,0.0,Não,,Agrupado,AGR · Noroeste Fluminense (Interior/B1),-21.4104773,-41.811052
LOJA COMERCIAL CAMBUCI,Cambuci,Interior (vizinho),Noroeste Fluminense,B1,Loja,0.0,Não,,Agrupado,AGR · Noroeste Fluminense (Interior/B1),-21.5824715,-41.921514
ETA SANTA RITA DA FLORESTA,Cantagalo,Interior (vizinho),Serrana / Centro-Norte,B1,Estação de Tratamento de Água,0.0,Não,,Agrupado,AGR · Serrana / Centro-Norte (Interior/B1),-21.8792,-42.4564
ETA EUCLIDELÂNDIA,Cantagalo,Interior (vizinho),Serrana / Centro-Norte,B1,Estação de Tratamento de Água,0.0,Não,,Agrupado,AGR · Serrana / Centro-Norte (Interior/B1),-21.8673976,-42.3062367
ETA SÃO SEBASTIÃO DO PARAÍBA,Cantagalo,Interior (vizinho),Serrana / Centro-Norte,B1,Estação de Tratamento de Água,0.0,Não,,Agrupado,AGR · Serrana / Centro-Norte (Interior/B1),-21.7553,-42.3789
LOJA DE ATENDIMENTO CANTAGALO,Cantagalo,Interior (vizinho),Serrana / Centro-Norte,B1,Loja,0.0,Não,,Agrupado,AGR · Serrana / Centro-Norte (Interior/B1),-21.9837207,-42.3684288
BASE OPERACIONAL CASIMIRO,Casimiro de Abreu,Interior (vizinho),Lagos e Litoral,B1,Base Operacional,0.0,Não,,Agrupado,AGR · Lagos e Litoral (Interior/B1),-22.563711953846155,-41.98429079230769
LOJA DE ATENDIMENTO BARRA DE SÃO JOÃO,Casimiro de Abreu,Interior (vizinho),Lagos e Litoral,B1,Loja,0.0,Não,,Agrupado,AGR · Lagos e Litoral (Interior/B1),-22.5881,-41.9924
ETE CORDEIRO,Cordeiro,Interior,Serrana / Centro-Norte,B1,Estação de Tratamento de Esgoto,172.0,Sim,[INTERIOR] - ETE APERIBE - AGUAS DO RIO 1 SPE S.A.,Agrupado,AGR · Serrana / Centro-Norte (Interior/B1),-22.0344108,-42.372124
ETA CORDEIRO,Cordeiro,Interior,Serrana / Centro-Norte,B1,Estação de Tratamento de Água,79.8,Sim,PRO-AMBIENTAL TECNOLOGIA LTDA,Agrupado,AGR · Serrana / Centro-Norte (Interior/B1),-22.0327044,-42.3615574
SEDE ADMNISTRATIVA CORDEIRO,Cordeiro,Interior,Serrana / Centro-Norte,B1,Sede Administrativa,0.0,Não,,Agrupado,AGR · Serrana / Centro-Norte (Interior/B1),-22.0233736,-42.3622405
ETA MONNERAT,Duas Barras,Interior,Serrana / Centro-Norte,B1,Estação de Tratamento de Água,61.0,Sim,[INTERIOR] - ETE APERIBE - AGUAS DO RIO 1 SPE S.A.,Agrupado,AGR · Serrana / Centro-Norte (Interior/B1),-22.0643304,-42.4016101
ETA DUAS BARRAS,Duas Barras,Interior,Serrana / Centro-Norte,B1,Estação de Tratamento de Água,0.0,Não,,Agrupado,AGR · Serrana / Centro-Norte (Interior/B1),-22.0489291,-42.5227442
LOJA DE ATENDIMENTO DUAS BARRAS,Duas Barras,Interior,Serrana / Centro-Norte,B1,Loja,0.0,Não,,Agrupado,AGR · Serrana / Centro-Norte (Interior/B1),-22.0522519,-42.5194705
ETA PORTELA,Itaocara,Interior,Noroeste Fluminense,B1,Estação de Tratamento de Água,0.0,Não,,Agrupado,AGR · Noroeste Fluminense (Interior/B1),-21.6309858,-41.9858213
ETA LARANJAIS,Itaocara,Interior,Noroeste Fluminense,B1,Estação de Tratamento de Água,0.0,Não,,Agrupado,AGR · Noroeste Fluminense (Interior/B1),-21.6699932,-42.0789927
ETA SEDE III,Itaocara,Interior,Noroeste Fluminense,B1,Estação de Tratamento de Água,37.5,Sim,PRO-AMBIENTAL TECNOLOGIA LTDA,Agrupado,AGR · Noroeste Fluminense (Interior/B1),-21.6691303,-42.0839461
ETA BATATAL/CORONEL TEIXEIRA,Itaocara,Interior,Noroeste Fluminense,B1,Estação de Tratamento de Água,0.0,Não,,Agrupado,AGR · Noroeste Fluminense (Interior/B1),-21.7120164,-42.1316304
ETA JAGUAREMBÉ,Itaocara,Interior,Noroeste Fluminense,B1,Estação de Tratamento de Água,0.0,Não,3R COMERCIO DE RESIDUOS RECICLAVEIS LTDA,Agrupado,AGR · Noroeste Fluminense (Interior/B1),-21.7488717,-41.9943984
SEDE ADMNISTRATIVA ITAOCARA,Itaocara,Interior,Noroeste Fluminense,B1,Sede Administrativa,0.0,Não,,Agrupado,AGR · Noroeste Fluminense (Interior/B1),-21.7289291,-42.0897294
ETA MIRACEMA,Miracema,Interior,Noroeste Fluminense,B1,Estação de Tratamento de Água,38.9,Sim,CTR SERVIÇOS AMBIENTAIS LTDA,Agrupado,AGR · Noroeste Fluminense (Interior/B1),-21.4126694,-42.1970166
ETA DISTRITO VENDA DAS FLORES,Miracema,Interior,Noroeste Fluminense,B1,Estação de Tratamento de Água,0.0,Não,,Agrupado,AGR · Noroeste Fluminense (Interior/B1),-21.3144191,-42.120313
ETA PARAÍSO DO TOBIAS,Miracema,Interior,Noroeste Fluminense,B1,Estação de Tratamento de Água,0.0,Não,3R COMERCIO DE RESIDUOS RECICLAVEIS LTDA,Agrupado,AGR · Noroeste Fluminense (Interior/B1),-21.4314,-42.1008
ETE MIRACEMA,Miracema,Interior,Noroeste Fluminense,B1,Estação de Tratamento de Esgoto,29.3,Sim,[INTERIOR] - ETE MIRACEMA - AGUAS DO RIO 1 SPE S.A.,Agrupado,AGR · Noroeste Fluminense (Interior/B1),-21.4362117,-42.2083301
LOJA DE ATENDIMENTO MIRACEMA,Miracema,Interior,Noroeste Fluminense,B1,Loja,0.0,Não,,Agrupado,AGR · Noroeste Fluminense (Interior/B1),-21.3899863,-42.1404096
CAPTAÇÃO MIRACEMA,Miracema,Interior,Noroeste Fluminense,B1,Estação Elevatória de Água Bruta,0.0,Não,,Agrupado,AGR · Noroeste Fluminense (Interior/B1),-21.3932622,-42.1705696
ETA RIO BONITO,Rio Bonito,Interior,Lagos e Litoral,B1,Estação de Tratamento de Água,243.0,Sim,PRO-AMBIENTAL TECNOLOGIA LTDA,Agrupado,AGR · Lagos e Litoral (Interior/B1),-22.7041861,-42.6281391
UT LAVRAS,Rio Bonito,Interior,Lagos e Litoral,B1,Unidade de Tratamento de Água,0.0,Não,,Agrupado,AGR · Lagos e Litoral (Interior/B1),-22.7368566,-42.5702111
UT BOA ESPERANÇA,Rio Bonito,Interior,Lagos e Litoral,B1,Unidade de Tratamento de Água,0.0,Não,,Agrupado,AGR · Lagos e Litoral (Interior/B1),-22.7368566,-42.5702111
CAPTAÇÃO BACAXÁ,Rio Bonito,Interior,Lagos e Litoral,B1,Estação Elevtória de Água Bruta,0.0,Não,,Agrupado,AGR · Lagos e Litoral (Interior/B1),-22.7082284,-42.62602
LOJA DE ATENDIMENTO RIO BONITO,Rio Bonito,Interior,Lagos e Litoral,B1,Loja,0.0,Não,,Agrupado,AGR · Lagos e Litoral (Interior/B1),-22.7082284,-42.62602
EEAT/ERES SANTA CLARA,São Francisco de Itabapoana,Interior,Noroeste Fluminense,B1,Estação Elevatória de Água Tratada,20.6,Sim,PRO-AMBIENTAL TECNOLOGIA LTDA,Agrupado,AGR · Noroeste Fluminense (Interior/B1),-21.5363582,-41.0802777
ETA PRAÇA JOÃO PESSOA,São Francisco de Itabapoana,Interior,Noroeste Fluminense,B1,Estação de Tratamento de Água,0.0,Não,,Agrupado,AGR · Noroeste Fluminense (Interior/B1),-21.3069641,-41.1119168
UT GARGAÚ,São Francisco de Itabapoana,Interior,Noroeste Fluminense,B1,Unidade de Tratamento de Água,25.9,Sim,VITAL ENGENHARIA AMBIENTAL S/A (Aterro de Inertes - CODIN),Agrupado,AGR · Noroeste Fluminense (Interior/B1),-21.5779158,-41.0668172
SEDE ADMNISTRATIVA SÃO SEBASTIÃO DO ALTO,São Francisco de Itabapoana,Interior,Noroeste Fluminense,B1,Base Operacional,0.0,Não,,Agrupado,AGR · Noroeste Fluminense (Interior/B1),-21.4731082,-41.1115668
LOJA DE ATENDIMENTO SÃO FRANCISCO DO ITABAPOANA,São Francisco de Itabapoana,Interior,Noroeste Fluminense,B1,Loja,0.0,Não,,Agrupado,AGR · Noroeste Fluminense (Interior/B1),-21.4531793,-41.0992305
ETA SÃO SEBASTIÃO DO ALTO,São Sebastião do Alto,Interior,Agrupado/Municipal,B1,Estação de Tratamento de Água,0.0,Não,,Agrupado,AGR · São Sebastião do Alto (Interior/B1),-21.8765871,-42.1115232
ETA VALÃO DO BARRO,São Sebastião do Alto,Interior,Agrupado/Municipal,B1,Estação de Tratamento de Água,14.9,Sim,CTR SERVIÇOS AMBIENTAIS LTDA,Agrupado,AGR · São Sebastião do Alto (Interior/B1),-21.822461,-42.091499
LOJA DE ATENDIMENTO SÃO SEBASTIÃO DO ALTO,São Sebastião do Alto,Interior,Agrupado/Municipal,B1,Loja,0.0,Não,,Agrupado,AGR · São Sebastião do Alto (Interior/B1),-21.954,-42.133
UT CHÁCARA DO PARAÍSO,São Sebastião do Alto,Interior,Agrupado/Municipal,B1,Unidade de Tratamento de Água,0.0,Não,,Agrupado,AGR · São Sebastião do Alto (Interior/B1),-21.957925,-42.1358139
UT HOSPITAL,São Sebastião do Alto,Interior,Agrupado/Municipal,B1,Unidade de Tratamento de Água,0.0,Não,,Agrupado,AGR · São Sebastião do Alto (Interior/B1),-21.8765871,-42.1115232
EEAB PARAOQUENA,N/D,Baixada 2 (vizinho),(s/área),B1,N/D,0.0,Não,,Agrupado,AGR · REVISAR (sem município) (Baixada 2/B1),-22.8625894,-43.5449653
BASE OPERACIONAL ITABORAÍ,Itaboraí,Leste,Leste Metropolitano,B1,Base Operacional,0.0,Não,,Agrupado,AGR · Leste Metropolitano (Leste/B1),-22.7502701,-42.8957278
BASE OPERACIONAL SÃO GONÇALO,São Gonçalo,Leste,Leste Metropolitano,B1,Base Operacional,1364.2,Sim,Central de Tratamento de Residuos Alcantara S/A,Individualizado,IND · BASE OPERACIONAL SÃO GONÇALO,-22.805495,-43.0625474
EEE APOLO 1,São Gonçalo,Leste,Leste Metropolitano,B1,Estação Elevatória de Esgoto,0.0,Não,,Agrupado,AGR · Leste Metropolitano (Leste/B1),-22.7774134,-42.9490692
EEE MÁRIO QUINTÃO,São Gonçalo,Leste,Leste Metropolitano,B1,Estação Elevatória de Esgoto,11.7,Sim,Regenera Rio S.A.,Agrupado,AGR · Leste Metropolitano (Leste/B1),-22.8214443,-43.0790279
EEE Paquetá,Rio de Janeiro,Leste,RJ – Capital,B4,Estação Elevatória de Esgoto,7.0,Sim,Regenera Rio S.A.,Agrupado,AGR · RJ Leste (Leste/B4),-22.9068467,-43.1728965
EEE PAUL LEROUX,São Gonçalo,Leste,Leste Metropolitano,B1,Estação Elevatória de Esgoto,3.8,Sim,Regenera Rio S.A.,Agrupado,AGR · Leste Metropolitano (Leste/B1),-22.830706,-43.0784762
ETA JACONÉ,Saquarema,Leste,Lagos e Litoral,B1,Estação de Tratamento de Água,2.9,Sim,Regenera Rio S.A.,Agrupado,AGR · Lagos e Litoral (Leste/B1),-22.90237,-42.59933
ETA MANILHA,Itaboraí,Leste,Leste Metropolitano,B1,Estação de Tratamento de Água,9.7,Sim,Ciclus Ambiental Rio S.A.,Agrupado,AGR · Leste Metropolitano (Leste/B1),-22.7604871,-42.948996
ETA MARAMBAIA,Itaboraí,Leste,Leste Metropolitano,B1,Estação de Tratamento de Água,0.7,Sim,Regenera Rio S.A.,Agrupado,AGR · Leste Metropolitano (Leste/B1),-22.7733847,-42.9391906
ETA MARICA,Maricá,Leste,Agrupado/Municipal,B1,Estação de Tratamento de Água,1.5,Sim,Ciclus Ambiental Rio S.A.,Agrupado,AGR · Maricá (Leste/B1),-22.90736,-42.800262
