Unidade,Endereco_completo,Municipio,Bloco,Categoria_PGRS,Tipo
LOJA DE ATENDIMENTO SÃO FRANCISCO DO ITABAPOANA,"Estrada Júlio Gomes Marinheiro, 2 - São Francisco de Itabapoana, RJ, 21000-000",São Francisco de Itabapoana,B1,Regional,Loja
ETA SÃO SEBASTIÃO DO ALTO,"São Sebastião do Alto, RJ, 28550-000",São Sebastião do Alto,B1,Agrupado/Municipal,Estação de Tratamento de Água
LOJA DE ATENDIMENTO SÃO SEBASTIÃO DO ALTO,"Rua Dr. Júlio Vieitas, 29 -Centro, São Sebastião do Alto - RJ, 21000-000",São Sebastião do Alto,B1,Agrupado/Municipal,Loja
UT CHÁCARA DO PARAÍSO,"Rua Hermes Daumas, 300 -Centro, São Sebastião do Alto - RJ, 28550-000",São Sebastião do Alto,B1,Agrupado/Municipal,Unidade de Tratamento de Água
UT HOSPITAL,"Rua Min. Franscico Dorneles, 74-174 - Santa Irene, São Sebastião do Alto - RJ, 28550-000",São Sebastião do Alto,B1,Agrupado/Municipal,Unidade de Tratamento de Água
EEAB PARAOQUENA,"N/D, RJ, Brasil",N/D,B1,Regional,N/D
BASE OPERACIONAL ITABORAÍ,"Rua José Leandro, 38 - Centro, Itaboraí - RJ, 24800-149",Itaboraí,B1,Regional,Base Operacional
EEE APOLO 1,"R. Azebi Coutinho da Veiga 350 -Monjolo, São Gonçalo - RJ, 24425-285",São Gonçalo,B1,Regional,Estação Elevatória de Esgoto
ETA PONTA NEGRA,"RJ-118, 40 - Ponta Negra, Maricá- RJ, 24942-39",Maricá,B1,Agrupado/Municipal,Estação de Tratamento de Água
ETA SAMPAIO CORREA,"Cachoeira do Roncador -Sampaio Corrêa, Saquarema - RJ",Saquarema,B1,Regional,Estação de Tratamento de Água
BASE VCG SÃO GONÇALO,"Avenida Presidente Kennedy, 80 - Trindade - São Gonçalo - RJ",São Gonçalo,B1,Regional,Base Operacional
EEAB BARRAGEM UBATIBA,"Maricá, RJ",Maricá,B1,Agrupado/Municipal,Estação Elevatória de Água Bruta
EEAB CAPTAÇÃO JACONÉ,"Serra de Mato Grosso, Saquarema, RJ",Saquarema,B1,Regional,Estação Elevatória de Água Bruta
EEAB CAPTAÇÃO PONTA NEGRA,"Ponta Negra, Maricá - RJ",Maricá,B1,Agrupado/Municipal,Estação Elevatória de Água Bruta
EEAT INOÃ,"Av. Francisco Azeredo Coutinho, 2035-3091 - Ipiíba, São Gonçalo -RJ",São Gonçalo,B1,Regional,Estação Elevatória de Água Tratada
LOJA COMERCIAL SÃO GONÇALO,"Estr. Raul Veiga, 351 - Alcantara, São Gonçalo - RJ, 24710-480",São Gonçalo,B1,Regional,Loja
LOJA COMERCIAL SAQUAREMA,"585 - Jaconé, Saquarema - RJ",Saquarema,B1,Regional,Loja
LOJA COMERCIAL TANGUÁ,"Rua Vereador Manoel Macedo, loja 4, no Centro, Tanguá, RJ, Brasil",Tanguá,B1,Regional,Loja
SEDE ADMINISTRATIVA MARICÁ,"R. Joana Chavier Mattos, 0 -Flamengo, Maricá - RJ, 24903-765",Maricá,B1,Agrupado/Municipal,Sede Administrativa
SEDE ADMNISTRATIVA CENTRO I,"Rua Cel. Moreira César, 139 -Centro, São Gonçalo - RJ, 24440 -400",São Gonçalo,B1,Regional,Sede Administrativa
LOJA DE ATENDIMENTO CENTRO RJ,"R. Afonso Cavalcanti,275 -Centro, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B1,Regional,Loja
LOJA DE ATENDIMENTO COPACABANA,"R. Francisco Sá, 86 - Copacabana, Rio de Janeiro - RJ",Rio de Janeiro,B1,Regional,Loja
EEAT MARACANÃ,"Boulevard 28 de Setembro - Vila Isabel, Rio de Janeiro - RJ",Rio de Janeiro,B4,Regional,Estação Elevatória de Água Tratada
LOJA DE ATENDIMENTO TIJUCA,"Rua Doutor Otávio Kelly, 110 – Tijuca –Rio de Janeiro/RJ",Rio de Janeiro,B4,Regional,Loja
EEE BICA,"Estrada da Bica, nº 01 – Jardim Guanabara, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,Regional,Estação Elevatória de Esgoto
EEE FARIA TIMBÓ,"Rua José dos Reis, 1681 - Pilares, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,Regional,Estação Elevatória de Esgoto
EEE FUNDÃO,"Rua Lobo Carneiro – Próximo a Saída 3 da Linha Amarela, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,Regional,Estação Elevatória de Esgoto
EEE PARANAPUÃ,"Avenida Paranapuã, 2195, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,Regional,Estação Elevatória de Esgoto
EEE SÃO BENTO,"Praia Belo Jardim, 537 - Galeão, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,Regional,Estação Elevatória de Esgoto
EEE ZUMBI I,"Rua Formosa do Zumbi, nº 44 –Pitangueiras, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,Regional,Estação Elevatória de Esgoto
LOJA DE ATENDIMENTO MÉIER,"Rua José Bonifácio, 528 - Méier, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,Regional,Loja
LOJA DE ATENDIMENTO CAMPINHO,"Estrada Intendente Magalhães, 504 - Campinho, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,Regional,Loja
LOJA DE ATENDIMENTO ILHA DO GOVERNADOR,"Estrada do Galeão, 1700 – Jardim Carioca, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,Regional,Loja
