Unidade,Endereco_completo,Municipio,Bloco,Categoria_PGRS,Tipo
LOJA DE ATENDIMENTO DUAS BARRAS,"Avenida Getúlio Vargas, 10, Duas Barras - RJ, 28650-000",Duas Barras,B1,Regional,Loja
ETA PORTELA,"Rua Antônio Corrêa da Rocha - Portela, Itaocara - RJ, 28570-000",Itaocara,B1,Regional,Estação de Tratamento de Água
ETA LARANJAIS,"Rua Nilo Peçanha, 385-355 -Laranjais, Itaocara - RJ, 28570-000",Itaocara,B1,Regional,Estação de Tratamento de Água
SEDE ADMNISTRATIVA ITAOCARA,"Av. Mal. Floriano Peixoto, 508 - Jardim D Aldeia, Itaocara -RJ, 28570-000",Itaocara,B1,Regional,Sede Administrativa
ETA PARAÍSO DO TOBIAS,"Rua Manoel da São Almeida, 34 - Paraíso do Tobias, Miracema - RJ, 28460-000",Miracema,B1,Regional,Estação de Tratamento de Água
LOJA DE ATENDIMENTO MIRACEMA,"Avenida Dep. Luís Fernando Linhares, 103 - Miracema, RJ, 28460-000",Miracema,B1,Regional,Loja
CAPTAÇÃO MIRACEMA,"Av. Samel S/N, Vila Ramos, Miracema - RJ, 28460-000",Miracema,B1,Regional,Estação Elevatória de Água Bruta
UT LAVRAS,"Próximo a Estrada Velha de Lavras, Rio Bonito, RJ, 28800-000",Rio Bonito,B1,Regional,Unidade de Tratamento de Água
UT BOA ESPERANÇA,"Estrada do Rio Mole, com acesso pela RJ-124, Rio Bonito - RJ, 28800-000",Rio Bonito,B1,Regional,Unidade de Tratamento de Água
LOJA DE ATENDIMENTO SÃO SEBASTIÃO DO ALTO,"Rua Dr. Júlio Vieitas, 29 -Centro, São Sebastião do Alto - RJ, 21000-000",São Sebastião do Alto,B1,Agrupado/Municipal,Loja
UT CHÁCARA DO PARAÍSO,"Rua Hermes Daumas, 300 -Centro, São Sebastião do Alto - RJ, 28550-000",São Sebastião do Alto,B1,Agrupado/Municipal,Unidade de Tratamento de Água
UT HOSPITAL,"Rua Min. Franscico Dorneles, 74-174 - Santa Irene, São Sebastião do Alto - RJ, 28550-000",São Sebastião do Alto,B1,Agrupado/Municipal,Unidade de Tratamento de Água
BASE OPERACIONAL ITABORAÍ,"Rua José Leandro, 38 - Centro, Itaboraí - RJ, 24800-149",Itaboraí,B1,Regional,Base Operacional
EEE APOLO 1,"R. Azebi Coutinho da Veiga 350 -Monjolo, São Gonçalo - RJ, 24425-285",São Gonçalo,B1,Regional,Estação Elevatória de Esgoto
ETA PONTA NEGRA,"RJ-118, 40 - Ponta Negra, Maricá- RJ, 24942-39",Maricá,B1,Agrupado/Municipal,Estação de Tratamento de Água
ETA SAMPAIO CORREA,"Cachoeira do Roncador -Sampaio Corrêa, Saquarema - RJ",Saquarema,B1,Regional,Estação de Tratamento de Água
EEAT INOÃ,"Av. Francisco Azeredo Coutinho, 2035-3091 - Ipiíba, São Gonçalo -RJ",São Gonçalo,B1,Regional,Estação Elevatória de Água Tratada
LOJA COMERCIAL TANGUÁ,"Rua Vereador Manoel Macedo, loja 4, no Centro, Tanguá, RJ, Brasil",Tanguá,B1,Regional,Loja
SEDE ADMINISTRATIVA MARICÁ,"R. Joana Chavier Mattos, 0 -Flamengo, Maricá - RJ, 24903-765",Maricá,B1,Agrupado/Municipal,Sede Administrativa
SEDE ADMNISTRATIVA CENTRO I,"Rua Cel. Moreira César, 139 -Centro, São Gonçalo - RJ, 24440 -400",São Gonçalo,B1,Regional,Sede Administrativa
LOJA DE ATENDIMENTO CENTRO RJ,"R. Afonso Cavalcanti,275 -Centro, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B1,Regional,Loja
EEE BICA,"Estrada da Bica, nº 01 – Jardim Guanabara, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,Regional,Estação Elevatória de Esgoto
EEE FUNDÃO,"Rua Lobo Carneiro – Próximo a Saída 3 da Linha Amarela, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,Regional,Estação Elevatória de Esgoto
EEE ZUMBI I,"Rua Formosa do Zumbi, nº 44 –Pitangueiras, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,Regional,Estação Elevatória de Esgoto
LOJA DE ATENDIMENTO MÉIER,"Rua José Bonifácio, 528 - Méier, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,Regional,Loja
LOJA DE ATENDIMENTO CAMPINHO,"Estrada Intendente Magalhães, 504 - Campinho, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,Regional,Loja
