Unidade,Endereco_completo,Municipio,Bloco,Geracao_ref_t,Categoria_PGRS,Tipo
EEE MÁRIO QUINTÃO,Rua Mário Quintão - Porto Novo - Cep: 24435813 - São Gonçalo - RJ,São Gonçalo,B1,"11,7",Agrupado/Municipal,Estação Elevatória de Esgoto
EEE SANTO ELIAS,"R. Teresinha, 285-345 - Jacutinga, Mesquita - RJ, 26564-24064-240",Mesquita,B4,"10,0",Agrupado/Municipal,Estação Elevatória de Esgoto
ETA MANILHA,"Próximo a Gebara, Itaboraí - RJ_x0002_22,7566234, -42,9376931",Itaboraí,B1,"9,7",Agrupado/Municipal,Estação de Tratamento de Água
ETA APERIBÉ,"Rua Antônio José Moreira S/N, Faria Leite, Aperibé - RJ, 28495-000",Aperibé,B1,"7,4",Individualizado,Estação de Tratamento de Água
EEE Paquetá," Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,"7,0",Agrupado/Municipal,Estação Elevatória de Esgoto
ESTAÇÃO ELEVATÓRIA DE ESGOTO PAQUETÁ 5,"#N/A, Rio de Janeiro, RJ, Brasil",Rio de Janeiro,B4,"5,8",Agrupado/Municipal,Estação Elevatória de Esgoto
EEE CAIÇARAS,"Av. Epitácio Pessoa, 552 -Ipanema, Rio de Janeiro -RJ",Rio de Janeiro,B1,"5,0",Agrupado/Municipal,Estação Elevatória de Esgoto
EEE PAUL LEROUX,Rua Paul Leroux - Paraíso - Cep: 24431375 - São Gonçalo - RJ,São Gonçalo,B1,"3,8",Agrupado/Municipal,Estação Elevatória de Esgoto
ETA JACONÉ,"RODOVIA RJ 116, KM 50 - Jaconé (Sampaio Correia) - Cep: 28990000 - Saquarema - RJ",Saquarema,B1,"2,9",Individualizado,Estação de Tratamento de Água
EEE VILA NORMA,"Avenida Laura Gonçalves Machado, 230 - Nova Iguaçu, Mesquita, RJ, Brasil",Mesquita,B4,"1,5",Agrupado/Municipal,Estação Elevatória de Esgoto
ETA MARICA,"R. Euclides dos Santos Quintanilha, nº 26, Flamengo - Maricá/RJ",Maricá,B1,"1,5",Agrupado/Municipal,Estação de Tratamento de Água
SEDE JARDIM PRIMAVERA,"Alameda Calheiros da Graça, Duque de Caxias – RJ",Duque de Caxias,B4,"1,4",Agrupado/Municipal,Base Operacional
ETA MARAMBAIA,Rua Dois - Aldeia da Prata (Manilha) - Cep: 24858080 - Itaboraí - RJ,Itaboraí,B1,"0,7",Agrupado/Municipal,Estação de Tratamento de Água
BOOSTER BELFORD ROXO,"Parque Duque, Duque de Caxias - RJ, 25085-009",Duque de Caxias,B4,"0,5",Agrupado/Municipal,N/D
EEE CHATUBA,"Rua Magno de Carvalho, 546 - Edson Passos, Mesquita - RJ, 26587-021",Mesquita,B4,"0,3",Agrupado/Municipal,Estação Elevatória de Esgoto
UT Santo Aleixo,"Santo Aleixo, Magé - Rio de Janeiro, Magé, RJ, Brasil",Magé,B1,"0,1",Agrupado/Municipal,Unidade de Tratamento de Água
